name,weekly_downloads
isstream,21294987
d3-hierarchy,21204373
loglevel,21194261
create-jest,20952524
mri,20848189
qrcode,20825876
puppeteer-core,20728467
gzip-size,20691457
hash.js,20650605
adm-zip,20632278
concurrently,20592026
i18next,20585257
storybook,20561359
vscode-languageserver-types,20519981
pino-pretty,20457312
basic-auth,20452751
multer,20380518
filter-obj,20252705
stream-browserify,20242723
stream-events,20144538
tunnel,20053840
help-me,20040100
node-fetch-native,20018066
is-what,20009623
registry-url,19942298
to-buffer,19938149
postcss-loader,19908003
raf,19873687
obuf,19785983
d3-scale-chromatic,19774124
vscode-jsonrpc,19705443
strict-uri-encode,19549618
isomorphic-ws,19530302
nodemailer,19492589
msw,19483930
redis-errors,19445529
urlpattern-polyfill,19439156
httpxy,19211862
queue,19196639
map-cache,19091876
remove-trailing-separator,19014990
postcss-discard-duplicates,19006079
external-editor,19001769
standard-as-callback,18983179
trim-newlines,18955019
unzipper,18933516
color-support,18920579
colord,18867184
react-docgen,18847052
eslint-utils,18792484
copy-anything,18680123
clone-response,18661171
shiki,18660962
xml,18657388
to-fast-properties,18655669
napi-build-utils,18558957
iceberg-js,18554262
es6-promise,18488171
d3-dsv,18466808
postcss-merge-rules,18397651
walk-up-path,18371715
prosemirror-view,18366134
jwt-decode,18330101
wrangler,18286940
moment-timezone,18276737
postcss-discard-comments,18238282
db0,18223053
stacktrace-parser,18223018
github-from-package,18201182
drizzle-orm,18171638
postcss-colormin,18167679
postcss-svgo,18160398
postcss-unique-selectors,18109846
postcss-ordered-values,18101861
safe-regex,18057965
webpack-dev-server,17999568
quansync,17992854
warning,17986441
csv-parse,17976666
postcss-normalize-whitespace,17951681
mini-css-extract-plugin,17935640
connect-history-api-fallback,17915696
throat,17897085
for-in,17816394
temp-dir,17807387
stylehacks,17717422
toad-cache,17640593
has-value,17596295
motion,17582090
expand-tilde,17561413
stripe,17546670
postcss-normalize-timing-functions,17543938
postcss-normalize-string,17532337
npm,17507139
intl-messageformat,17403009
prosemirror-state,17389128
sass-loader,17381318
jquery,17299603
encoding-sniffer,17185182
socket.io,17183782
parse5-parser-stream,17093994
d3-fetch,17073966
fast-content-type-parse,17047070
plist,17025594
mustache,16996766
supertest,16958609
aws-sign2,16951934
split-on-first,16863589
html2canvas,16861035
get-stdin,16783862
batch,16754149
prosemirror-tables,16652180
react-docgen-typescript,16622199
nf3,16537489
set-value,16531049
conventional-changelog-angular,16522822
forever-agent,16499496
caniuse-api,16492337
forwarded-parse,16474546
compare-versions,16400357
css-declaration-sorter,16370749
linkifyjs,16319449
standardwebhooks,16309685
local-pkg,16298344
env-runner,16244811
ocache,16238077
http-deceiver,16223678
svg-parser,16175450
tempy,16128241
tsconfig-paths-webpack-plugin,16123905
filesize,16109101
engine.io-client,16091780
void-elements,16075296
prisma,16009816
npm-pick-manifest,15983851
isbinaryfile,15943967
arr-diff,15894653
ajv-draft-04,15873200
eventemitter2,15870234
array-back,15829555
stream-buffers,15781749
graphql-tag,15749415
is-url,15715585
is-property,15699671
sort-keys,15693488
html-webpack-plugin,15687875
append-field,15680112
slugify,15631386
generate-function,15532687
youch-core,15513954
vscode-languageserver-textdocument,15487671
npm-bundled,15444256
hookified,15404005
swr,15377832
safe-regex2,15369210
bson,15365573
has-ansi,15322155
sockjs,15317385
drizzle-kit,15270908
eslint-plugin-jest,15255186
npm-install-checks,15253608
arr-union,15251171
googleapis-common,15236121
arch,15205671
postcss-safe-parser,15203150
npm-packlist,15160035
mocha,15111290
buffers,15045515
toml,15036464
pretty-error,15024421
renderkid,15011645
is-unsafe,14984840
thingies,14966227
prosemirror-inputrules,14917091
is-module,14872462
shallowequal,14872352
oxlint,14861708
helmet,14852929
hast-util-is-element,14848202
error-stack-parser-es,14839301
comment-json,14826721
oauth-sign,14819258
react-i18next,14782579
pkg-up,14703985
rettime,14692452
request,14685435
untildify,14633792
react-error-boundary,14558757
bonjour-service,14557508
vue,14550122
css-line-break,14531331
fast-csv,14441450
call-me-maybe,14383203
mysql2,14368420
papaparse,14326707
jspdf,14297741
fbjs,14238374
hyperdyperid,14223486
resize-observer-polyfill,14211436
parse-passwd,14177674
until-async,14074655
mnemonist,14071155
postgres,14065441
is-network-error,14042509
brotli,14029187
needle,14027856
decamelize-keys,13994689
dom-converter,13971258
lighthouse-logger,13953824
regexp-tree,13924412
css-to-react-native,13923359
dset,13911842
metro-source-map,13838433
babel-plugin-syntax-hermes-parser,13816245
obliterator,13800190
github-slugger,13764659
auto-bind,13758072
parseley,13728853
ramda,13714843
is-relative,13701825
ts-loader,13699017
html-parse-stringify,13698530
nodemon,13696317
metro-runtime,13695202
find-my-way,13650233
babel-plugin-react-compiler,13609544
package-json,13598792
har-schema,13589662
lru-memoizer,13587211
named-placeholders,13583378
mermaid,13568742
fastify-plugin,13567036
peberminta,13512728
escape-goat,13502082
socket.io-client,13494489
is-absolute,13491149
metro-cache,13490541
wbuf,13481212
metro-babel-transformer,13469184
metro-config,13454028
tinycolor2,13403736
deprecation,13392010
thunky,13376004
xmlhttprequest-ssl,13369403
jsonify,13367224
svg-pathdata,13353564
metro-transform-worker,13333772
create-hash,13312171
next-tick,13308918
address,13305740
npm-registry-fetch,13281177
metro-cache-key,13279770
morgan,13270223
object-treeify,13251099
expand-brackets,13242905
fast-decode-uri-component,13224024
regexpp,13213021
touch,13200842
metro-file-map,13185871
exceljs,13171980
is-retry-allowed,13132555
oniguruma-parser,13117371
canvg,13100246
pinkie,13092974
pinkie-promise,13079381
dagre-d3-es,13058401
anser,13058044
uncrypto,13047451
lru.min,13038636
rgbcolor,13023081
extglob,13002122
unc-path-regex,12979778
is-unc-path,12974203
bcryptjs,12958392
unbzip2-stream,12941888
object.pick,12926743
nullthrows,12868883
cfb,12829399
get-own-enumerable-property-symbols,12828854
index-to-position,12784389
redis,12766621
mongodb-connection-string-url,12753328
split,12749015
esbuild-register,12707989
confusing-browser-globals,12688207
chart.js,12643537
copy-webpack-plugin,12637775
file-selector,12637762
split-string,12618945
aws-ssl-profiles,12612533
webpack-bundle-analyzer,12559695
kysely,12542505
simple-update-notifier,12541366
unist-util-find-after,12529838
findup-sync,12513563
title-case,12503444
path-is-inside,12491669
p-defer,12479536
cipher-base,12396427
common-path-prefix,12393769
swagger-ui-dist,12374435
jsonpath-plus,12367799
jsep,12366618
yup,12361625
iterare,12360059
openid-client,12347419
is-path-cwd,12334921
fast-json-stringify,12329244
multipasta,12289998
camelize,12263622
source-map-loader,12218022
path-root-regex,12212432
graphql-ws,12187371
sinon,12137855
wmf,12131780
xlsx,12119995
react-reconciler,12103544
radix-ui,12084989
oauth4webapi,12077606
react-devtools-core,12054848
attr-accept,12022390
is-npm,12017047
yaml-ast-parser,11999803
file-loader,11993789
array-unique,11986455
khroma,11981246
union-value,11929844
vlq,11917703
p-event,11890128
classcat,11858635
parse-filepath,11853346
regenerator-transform,11822688
buffer-xor,11730824
hyphenate-style-name,11727981
glob-to-regex.js,11716212
webpack-cli,11683922
sanitize-html,11683846
create-hmac,11671629
swap-case,11640880
unist-util-position-from-estree,11629982
points-on-path,11622575
lowlight,11614620
browserify-sign,11580461
less,11539150
buffer-indexof-polyfill,11533170
hasha,11533137
fast-png,11518559
event-emitter,11512716
puppeteer,11502491
latest-version,11494220
css-color-keywords,11489067
yoga-layout,11477437
editorconfig,11450667
react-native,11426507
crypto-browserify,11424863
comment-parser,11412915
restructure,11395807
jsdoc-type-pratt-parser,11371165
async-limiter,11350752
fontkit,11349079
find-my-way-ts,11315193
formatly,11291752
copy-to-clipboard,11289002
vscode-languageserver,11284859
filenamify,11257006
async-listen,11190979
array-timsort,11184128
micromark-extension-mdx-md,11152527
chalk-template,11148719
cosmiconfig-typescript-loader,11146610
tsscmp,11143355
esniff,11091797
tiny-warning,11068197
meriyah,11056569
fast-redact,11054775
is-lambda,11049330
get-func-name,11045370
hard-rejection,11032755
fastify,11032581
yargs-unparser,10998326
promise-inflight,10982968
minimalistic-crypto-utils,10978746
mixin-deep,10966756
cookie-parser,10963712
pdf-lib,10949838
styled-components,10934618
xml-js,10924474
jpeg-js,10905402
light-my-request,10901959
property-expr,10892605
compare-func,10872144
quill,10850551
async-lock,10831836
known-css-properties,10799931
sigstore,10797860
style-mod,10767303
array-ify,10747612
shelljs,10747439
isomorphic-fetch,10736382
stream-http,10734850
ssh2,10729729
archy,10684507
abstract-logging,10671428
global-agent,10650231
unset-value,10578296
conf,10578251
piscina,10548327
jju,10519150
avvio,10516519
js-beautify,10513436
roarr,10467141
date-fns-tz,10462677
find-up-simple,10439146
os-browserify,10437920
webpack-node-externals,10412754
stylelint,10406974
memory-fs,10402380
tinyqueue,10386750
undefsafe,10385053
pumpify,10368557
builtin-status-codes,10342099
is-builtin-module,10339400
dfa,10331319
repeat-element,10319569
dargs,10286187
kubernetes-types,10284343
collection-visit,10279186
object-visit,10277260
pascalcase,10270218
eslint-import-context,10270201
import-from,10269520
map-visit,10269274
arr-flatten,10263352
cli-progress,10229680
tsyringe,10224815
utility-types,10213330
object-copy,10157007
path-root,10140455
iron-webcrypto,10114914
to-regex,10108347
v8-compile-cache,10107176
xdg-app-paths,10101850
codemirror,10069792
cache-base,10031790
googleapis,10013010
fd-package-json,10001085
react-lifecycles-compat,9980449
nanomatch,9973338
